,_id,created_date,legislator_id,legislator_name,party,state,text,user_id,Label
10234,913039011865878528,2017-09-27 13:53:58,N000179,Grace F. Napolitano,D,CA,"RT @NydiaVelazquez: .@realDonaldTrump, our fellow Americans' lives are on the line. #PuertoRico must receive every resource it needs to con…",161411080,0.0
27584,926832212573646848,2017-11-04 15:23:13,O000168,Pete Olson,R,TX,GREAT NEWS this #DiabetesAwarenessMonth! @POTUS signed @SenatorShaheen &amp; my bill to help millions of Americans impacted by diabetes!,20053279,2.0
13099,953668528367947776,2018-01-17 16:41:10,W000779,Ron Wyden,D,OR,.@realDonaldTrump and his administration are at a flat-out sprint in the wrong direction when it comes to health care &amp; have a sabotage agenda targeting private health insurance markets. https://t.co/Kb35pYteFX,250188760,-2.0
16005,828624917923000320,2017-02-06 15:22:30,P000197,Nancy Pelosi,D,CA,Be sure to tune into watch my event today with @MaxineWaters speaking against @POTUS’ #WallStreetFirst agenda: https://t.co/a7iJhtGStO,15764644,0.0
16965,836603228162830336,2017-02-28 15:45:27,M001165,Kevin McCarthy,R,CA,"👉 @HouseGOP and @POTUS are working to build a better America, united for all. https://t.co/N4w7Rpv7Rr",19739126,1.0
1049,799314268495736832,2016-11-17 18:12:26,L000551,Barbara Lee,D,CA,RT @RepMarkTakano: I'm calling on @realDonaldTrump to immediately denounce the comments made by a surrogate regarding Japanese-America…,248735463,0.0
18493,842468036070264838,2017-03-16 20:10:06,L000174,Patrick J. Leahy,D,VT,"The #Trumpbudget, like #TrumpCare, is shortsighted and appallingly unbalanced. Watch my stmnt on @POTUS budget HERE: https://t.co/ReGSO19gnA",242836537,-1.0
16407,831604623203004417,2017-02-14 20:42:47,W000806,Daniel Webster,R,FL,Thank you @POTUS for signing into law bills passed by Congress that support by American businesses by cutting red tape.,281540744,2.0
26413,916401837703520256,2017-10-06 20:36:38,P000197,Nancy Pelosi,D,CA,"If @POTUS cared so deeply about the Constitution, he wouldn’t have just trampled on a woman’s right to health care. #HandsOffMyBC",15764644,-2.0
13313,954721342519115777,2018-01-20 14:24:40,T000465,Niki S. Tsongas,D,MA,"RT @NancyPelosi: .@realDonaldTrump, @HouseGOP, &amp; @SenateGOP were so obsessed with the #GOPTaxScam, they were blinded to their duties to the…",242892689,-2.0
10426,916038353765707776,2017-10-05 20:32:17,S001193,Eric Swalwell,D,CA,"Also, do we need to add 1 more nuclear threat at this time? @realDonaldTrump hasn’t shown the maturity to handle #NorthKorea, why add Iran?",942156122,-2.0
23674,888055396606279681,2017-07-20 15:18:00,K000385,Robin Kelly,D,IL,"Since @POTUS took office, the US has lost nearly 12,000 #jobs overseas. Was one of them yours? https://t.co/6Kmwr5Fm4q",1339931490,-2.0
16827,835554457177870336,2017-02-25 18:18:01,B001230,Tammy Baldwin,D,WI,I'm calling on @POTUS to resolve conflicts of interest that are putting him in violation of the U.S. Constitution. https://t.co/pGtSAbtT2g,1074518754,-1.0
16619,832597058511044608,2017-02-17 14:26:22,S001145,Janice D. Schakowsky,D,IL,RT @RepSpeier: Flynn lied to VP and FBI. @POTUS fires him and then blames the press. Sad! #FollowTheFacts,24195214,-1.0
28651,943898823008636928,2017-12-21 17:39:50,W000813,Jackie Walorski,R,IN,RT @SteveScalise: 🖋 @SpeakerRyan and @SenOrrinHatch just signed the Tax Cuts &amp; Jobs Act. Next stop: @POTUS' desk. https://t.co/I7jVxixAgO,1065995022,0.0
2691,824705238896676864,2017-01-26 19:47:05,L000480,Nita M. Lowey,D,NY,Read my statement on @realDonaldTrump's outrageous #immigration #executiveorders: https://t.co/7fZuifLNao,221792092,-1.0
9116,896413808343875584,2017-08-12 16:51:21,M001137,Gregory W. Meeks,D,NY,"@realDonaldTrump While hateful Neo-Nazis (emboldened by admin) parade through the streets &amp; frighten millions, the President lounges at his golf course.",22812754,-2.0
27900,934431400798969857,2017-11-25 14:39:41,M001196,Seth Moulton,D,MA,"RT @sethmoulton: ""A chicken in every pot."" Or, just a Turkey for @POTUS cooked by immigrants making ridiculously low wages. https://t.co/0W…",3091316093,-2.0
23890,890284824245698561,2017-07-26 18:56:57,W000808,Frederica S. Wilson,D,FL,"Today @POTUS did a tremendous disservice to the #LGBT community, the military and the American public! https://t.co/3UuCqfwZ7h",234014087,-2.0
23391,885167399183548417,2017-07-12 16:02:08,F000457,Alan Stuart Franken,D,MN,LIVESTREAM @senjudiciary ➝ I'm a member of @SenateDems with questions for @POTUS' FBI Director nom Christopher Wray. https://t.co/l2v7gvXJ6f,171968009,0.0
20990,862067351637962752,2017-05-09 22:10:47,V000128,Chris Van Hollen,D,MD,"The ""you're fired"" approach doesn’t work when your President. @POTUS you're creating a crisis of confidence in our Justice Department.",18137749,-2.0
4692,841815618173206528,2017-03-15 00:57:38,M001143,Betty Louise McCollum,D,MN,"Americans deserve transparency about @realDonaldTrump's taxes, which is why I'm co-sponsoring Presidential Tax Transparency Act. #TrumpTaxes",516880804,-1.0
16392,831564874975174656,2017-02-14 18:04:50,P000197,Nancy Pelosi,D,CA,"Within 2 months of taking office, President Obama acted to save 4 million jobs. Where is @POTUS' jobs bill? Where's his infrastructure bill?",15764644,-2.0
13178,954080243525890048,2018-01-18 19:57:10,B001269,Lou Barletta,R,PA,Tune in to hear @realDonaldTrump @POTUS in Pittsburgh! https://t.co/iThd7Y7ASq,239871673,0.0
25644,907258895671992320,2017-09-11 15:05:51,S001193,Eric Swalwell,D,CA,"It doesn't matter where you're from, or who you are, you just know Nazis/White Supremacists are bad. And that it's @POTUS's job to lead us. https://t.co/OYHbUzTeEY",942156122,-1.0
29582,958482217981939712,2018-01-30 23:29:03,D000615,Jeff Duncan,R,SC,RT @RepJimBanks: I hope to hear @POTUS discuss this issue tonight. What a difference a year has made in the fight against ISIS. https://t.c…,240393970,0.0
7884,876777069157519361,2017-06-19 12:21:57,D000614,Sean P. Duffy,R,WI,President @realDonaldTrump is serious about cutting government waste --&gt; @dcexaminer's @SecretsBedard https://t.co/7WAeHmspnq,234022257,1.0
6277,857699532871786499,2017-04-27 20:54:38,P000197,Nancy Pelosi,D,CA,It’s critical that we get to the bottom of @realDonaldTrump’s #conflictsofinterest. #Trump100Days https://t.co/0D2XYAnRTB,15764644,-1.0
23564,887358557762572288,2017-07-18 17:09:01,K000380,Daniel T. Kildee,D,MI,"New GOP health plan is ""let Obamacare fail."" That isn't a plan or leadership, @POTUS. People will suffer. Work w/ Democrats to improve law.",1045110018,-2.0
17314,836767805152210948,2017-03-01 02:39:25,C000059,Ken S. Calvert,R,CA,I look forward to working with @POTUS and our local leaders to make sure Inland Empire infrastructure projects are front and center. https://t.co/5V7BR3yn5e,22545491,1.0
12381,943544555911155715,2017-12-20 18:12:06,M001183,Joe Manchin,D,WV,On Monday I visited @WhiteHouse &amp; was honored when @realDonaldTrump offered to give us a tour of the Lincoln Bedroom &amp; Christmas decorations. I will continue to work w/ Pres. Trump to find ways we can improve the lives of West Virginians. https://t.co/Di0JC953rA,234374703,2.0
7804,875057217707364352,2017-06-14 18:27:53,F000460,Blake Farenthold,R,TX,"Happy birthday, President @realDonaldTrump! https://t.co/ALTSylF7qW",17896154,2.0
26465,917767346806312961,2017-10-10 15:02:41,T000460,Mike Michael Thompson,D,CA,"Sent a letter to @POTUS asking for swift action on Gov. Brown's request for a ""major disaster"" declaration. https://t.co/j9gn7AdrUY",303861808,0.0
6793,863073918063697920,2017-05-12 16:50:31,M000133,Edward J. Markey,D,MA,#NetNeutrality is under attack by Republicans and @realDonaldTrump's @FCC @AjitPaiFCC. Fight back! https://t.co/jhTAcyfCq5,21406834,-1.0
11074,923647353634115585,2017-10-26 20:27:44,P000523,David E. Price,D,NC,"Under @realDonaldTrump, the @FCC compromises its own mission to protect localism, diversity &amp; competition at benefit of huge corporations. https://t.co/IsYpHgO1s2",155669457,-1.0
24248,894556617844371456,2017-08-07 13:51:32,D000563,Richard J. Durbin,D,IL,.@POTUS is intentionally stirring up chaos in our health care system. This recklessness will harm American families. https://t.co/YQl92ZAM4H,247334603,-2.0
9230,897561290566139905,2017-08-15 20:51:02,M001176,Jeff Merkley,D,OR,@realDonaldTrump Washington and Jefferson fought to create this country. Robert E. Lee and Stonewall Jackson fought to preserve slavery. Not the same!,29201047,-1.0
18488,842460811251593217,2017-03-16 19:41:24,R000486,Lucille Roybal-Allard,D,CA,".@POTUS's budget is a disaster for USA. It destroys jobs, abandons students, and endangers our air and water. Terrible! #TrumpCuts https://t.co/mtgIa0kz1K",479872233,-2.0
7877,876475879064522756,2017-06-18 16:25:08,B001292,Donald Beyer,D,VA,@realDonaldTrump Unprecedented business conflicts from which he refused to divest. Legislative oversight in Congress blocked 3/ https://t.co/NqxNk7KR1j,2962868158,-1.0
23622,887705783516921856,2017-07-19 16:08:46,V000131,Marc A. Veasey,D,TX,"Hmmm ... so it looks like @POTUS' ""Art of the Deal"" negotiations didn't quite work out did they? Time to introduce a real jobs bill! https://t.co/vOHTj3aCof",1074129612,-2.0
29193,953694660198776833,2018-01-17 18:25:00,V000131,Marc A. Veasey,D,TX,"Family is an American value, but @POTUS administration is seeking to drastically cut family immigration. Congress must #ValueOurFamilies. https://t.co/6xHeCv0ktI",1074129612,-2.0
29700,958525919236419584,2018-01-31 02:22:42,W000806,Daniel Webster,R,FL,".@POTUS mentions doubling standard deduction, which particularly benefits constituents in my district. #TaxCutAndJobsAct #SOTU",281540744,2.0
28011,936285819001884672,2017-11-30 17:28:29,R000570,Paul D. Ryan,R,WI,RT @RepMikeTurner: I was proud to join @HASCRepublicans &amp; @HASCDemocrats as @SpeakerRyan signed #FY18NDAA to send to @POTUS. You can w…,18916432,1.0
26643,918565888919588864,2017-10-12 19:55:48,E000179,Eliot L. Engel,D,NY,"Americans were loud &amp; clear when they refused to accept #Trumpcare. With today’s exec order, @POTUS has rejected the will of the people https://t.co/f7bMwzscDv",164007407,-2.0
4927,844202125865443328,2017-03-21 15:00:45,L000564,Doug Lamborn,R,CO,Thanks to @POTUS @realDonaldTrump for speaking at @HouseGOP mtg on importance of passing #RepealAndReplace bill. https://t.co/iOmOKTG2nO https://t.co/F4OcewDoW9,584012853,2.0
8647,889871283206410240,2017-07-25 15:33:41,M001160,Gwen Moore,D,WI,Wisconsin House Dems to state officials: Do NOT comply w/ @realDonaldTrump #VoterFraud Commission. #ProtectWIVoters https://t.co/GWv4LJhdtJ https://t.co/LlhAadXdqv,22669526,-2.0
7955,877580595202637825,2017-06-21 17:34:53,C000984,Elijah E. Cummings,D,MD,".@realDonaldTrump, you said you wanted to work with me to reduce #drugprices and I took you at your word—there’s still time, don’t give in. https://t.co/VFWd67PrDG",787373558,-1.0
20210,856943509504479236,2017-04-25 18:50:28,C001095,Tom Cotton,R,AR,"POTUS's foreign policy in 1st 100 days alone has already started to restore American power, prestige, &amp; credibility. https://t.co/APRrQJ8Fab",968650362,2.0
1496,809412710647681025,2016-12-15 15:00:03,C001047,Shelley Moore Capito,R,WV,I’ve asked @realDonaldTrump to help secure promised health benefits for our miners: https://t.co/lWET3S7owf via @thehill,193794406,1.0
12267,941839826256457728,2017-12-16 01:18:07,N000002,Jerrold L. Nadler,D,NY,RT @SenWhitehouse: MUST WATCH: Republican @SenJohnKennedy asks one of @realDonaldTrump’s US District Judge nominees basic questions of…,40302336,0.0
16368,831513652415053824,2017-02-14 14:41:18,L000562,Stephen F. Lynch,D,MA,"In opposition to @POTUS’s misguided freeze on hiring for federal jobs, I introduced H.R. 1001 Veterans Federal Hiring Protection Act of 2017",310310133,-1.0
17897,837425906218057728,2017-03-02 22:14:29,M000312,James P. McGovern,D,MA,"Simply stunning: The whole time @WhiteHouse was defending Flynn, they failed to say he &amp; Kushner met with #Kislyak IN TRUMP TOWER. https://t.co/IxqkNuKndW",242426145,-1.0
22518,875094838663938049,2017-06-14 20:57:22,C000141,Benjamin L. Cardin,D,MD,Looking forward to House passage &amp; @POTUS' signature. We're overdue on this response to the Kremlin's aggression &amp; assault on our democracy. https://t.co/QV5NQ5xUUY,109071031,1.0
29243,954382519746596864,2018-01-19 15:58:18,U000039,Tom S. Udall,D,NM,Time is ticking. Democrats are willing to work to avoid this #TrumpShutdown. But @POTUS &amp; the GOP control Congress &amp; the White House. Will they show some leadership &amp; join us in a good budget deal for the military and the middle class?,60828944,-1.0
11658,935633533841956864,2017-11-28 22:16:32,D000614,Sean P. Duffy,R,WI,"The court's decision to allow Mick Mulvaney, @POTUS @realDonaldTrump's pick for Acting CFPB Director, is the correct one. But we must remember that unaccountable CFPB is still badly in need of reform.",234022257,1.0
6310,857988497256460288,2017-04-28 16:02:53,D000216,Rosa L. DeLauro,D,CT,"RT @MargoWootan: @realDonaldTrump, you may not be into transparency, but over 80% of Americans are, and want national #menuabeling.…",140519774,-1.0
25837,910167035463831553,2017-09-19 15:41:45,L000174,Patrick J. Leahy,D,VT,2/ I urge @POTUS to not cave to the xenophobic voices around him – to not shut our doors to the innocent during a world humanitarian crisis.,242836537,-1.0
25935,911968277945049089,2017-09-24 14:59:15,N000002,Jerrold L. Nadler,D,NY,The @POTUS should focus on the challenges facing our country and not on attacking people exercising their First Amendment rights. https://t.co/uTdTwSMqsp,40302336,-2.0
13366,954834625137954817,2018-01-20 21:54:49,K000009,Marcy Kaptur,D,OH,".@realDonaldTrump and his budget chief owe our retirees some respect here. They seek no handout, just their due. Watch their stories here: https://t.co/aQjiAr54D1 #ProtectOurPensions",581141508,0.0
16532,832273313326051329,2017-02-16 16:59:55,P000588,Stevan E. Pearce,R,NM,Congratulations to my friend &amp; now former House colleague @RepMickMulvaney as he moves on to serve @POTUS as the new OMB Director. https://t.co/NHBX0r4UJP,235271965,1.0
2541,823917423795597312,2017-01-24 15:36:36,E000288,Keith Maurice Ellison,D,MN,Let's be absolutely clear: @realDonaldTrump lost the popular vote because the majority of Americans voted for someone else. https://t.co/nzGeSxhxXC,14135426,-2.0
24574,897579154950033409,2017-08-15 22:02:01,B001286,Cheri Bustos,D,IL,"@POTUS The neo-Nazis, white supremacists and the KKK in #Charlottesville do NOT represent who we are as Americans. We cannot enable that violence.",1092979962,-1.0
5650,852989207408783362,2017-04-14 20:57:29,W000808,Frederica S. Wilson,D,FL,.@realDonaldTrump Did You Know? #BokoHaram abducts young girls and forces them to marry its terrorists or become sex slaves! We must #BBOG! https://t.co/ZFzrgctOSK,234014087,-1.0
7930,877250586827268096,2017-06-20 19:43:33,W000821,Bruce Westerman,R,AR,"RT @westerncaucus: .@RepGosar, @USRepRickNolan, @RepTomEmmer, @RepWesterman ask realDonaldTrump Admin. to renew MN leases &amp; scrap 425K…",2852998461,0.0
11923,938473219845214208,2017-12-06 18:20:26,R000592,Todd Rokita,R,IN,"Jerusalem is the capital of Israel and the United States embassy rightfully should reside there. While presidents from both parties have called for this recognition of Israel, President .@realDonaldTrump is the first president to take action. #Jerusalem",17544524,2.0
9337,898224048169209856,2017-08-17 16:44:35,G000551,Raúl M. Grijalva,D,AZ,If only @realDonaldTrump cared as much about upholding our civil rights as he does about protecting confederate statues. https://t.co/Bvwk4HQr6W,28602948,-2.0
20336,857317753354690560,2017-04-26 19:37:35,G000560,Tom Graves,R,GA,"Refreshing to have a president who wants to lower taxes, not raise them. Look forward to working w/ @POTUS to create simpler &amp; fairer system",190328374,2.0
28052,936801939899035648,2017-12-02 03:39:22,H000338,Orrin G. Hatch,R,UT,This #taxreform proposal is “a huge win for the middle class.” https://t.co/A8yAHmoZYi #utpol @POTUS @realdonaldtrump https://t.co/DmoqlEJbGL,262756641,2.0
12832,951121791447109632,2018-01-10 16:01:20,F000459,Charles J. Fleischmann,R,TN,"On Monday, I joined @realDonaldTrump in Nashville for the signing of two executive orders for broadband expansion. Do you want to know more about how I am working with @POTUS to benefit @FarmBureau and rural America? Click here: https://t.co/GIYlguc43a https://t.co/FZLvXB9Hll",235190657,2.0
6625,861638665268850688,2017-05-08 17:47:20,U000039,Tom S. Udall,D,NM,.@POTUS @realDonaldTrump #TrumpCare would cut $880 billion from #Medicaid &amp; hurt vulnerable people in my state &amp; across the country. https://t.co/xVu0hXus9u,60828944,-2.0
25469,905110082429562880,2017-09-05 16:47:14,B001288,Cory Anthony Booker,D,NJ,@POTUS Make no mistake: #Dreamers are productive members of society who contribute positively to our communities and boost our economy 3/,2167097881,-1.0
1117,800913383872663552,2016-11-22 04:06:45,C001068,Steve Cohen,D,TN,"RT @realDonaldTrump: The Theater must always be a safe and special place.The cast of Hamilton was very rude last night to a very good man,…",162069635,0.0
25815,909852448491282432,2017-09-18 18:51:42,U000039,Tom S. Udall,D,NM,"@SecretaryZinke .@POTUS must reject Zinke’s report, honor the work and wishes of #NM communities &amp; leave intact #OMDP4NM, #RGDN &amp; all our #MonumentsForAll. https://t.co/2qEqmlnbnl",60828944,0.0
30024,958547210991521792,2018-01-31 03:47:18,S000583,Lamar S. Smith,R,TX,"RT @HouseScience: .@POTUS at #SOTU: “In our drive to make Washington accountable, we have eliminated more regulations in our first year tha…",15856366,1.0
27325,923668303087841280,2017-10-26 21:50:59,M000934,Jerry Moran,R,KS,I commend @POTUS for declaring #opioidcrisis a public health emergency &amp; am encouraged by his commitment to address this epidemic head-on.,18632666,2.0
2671,824671286077063172,2017-01-26 17:32:10,M001160,Gwen Moore,D,WI,Getting our news from @realDonaldTrump is like getting #ClimateChange advice from @exxonmobil. #NoThanks #HardPass https://t.co/WZ9XhMAyja,22669526,-2.0
17606,836786418806587392,2017-03-01 03:53:23,P000449,Robert J. Portman,R,OH,"Pleased that #POTUS spoke about D's and R's working together on #jobs &amp; the economy, America’s #1 priority. #JointSession",18915145,2.0
6165,857654934451474433,2017-04-27 17:57:25,S001168,John P. Sarbanes,D,MD,.@realDonaldTrump How @realDonaldTrump failed to #DrainTheSwamp (26/100): https://t.co/plil5IUIoe #Trump100Days,364415553,-1.0
27098,922859501728010241,2017-10-24 16:17:05,L000579,Alan S. Lowenthal,D,CA,CSR payments actually lower healthcare costs AND federal spending for all Americans. @POTUS was wrong to stop. They must be guaranteed by Congress.,1055730738,-1.0
14085,958777840153038849,2018-01-31 19:03:44,B001243,Marsha W. Blackburn,R,TN,"Last night, @realDonaldTrump honored a true American hero. We knew that Staff Sergeant Justin Peck was an extraordinary man when he enlisted in our United States military. He showed immeasurable bravery when he risked his life to save his team member. https://t.co/KqKFBeH9Pp",278145569,2.0
22824,878013728633081856,2017-06-22 22:16:00,B000755,Kevin P. Brady,R,TX,RT @SpeakerRyan: Had another very productive meeting about tax reform with Senate and @WhiteHouse leaders today. We are going to get…,19926675,2.0
27188,923565425593548801,2017-10-26 15:02:11,G000574,Ruben Gallego,D,AZ,I proudly joined 188 of my colleagues to demand that @POTUS end his efforts to rip #birthcontrol coverage from women. https://t.co/9yKlsK72gD,2966570782,-2.0
11458,930969756999483392,2017-11-16 01:24:21,S001195,Jason T. Smith,R,MO,When the #TaxCutsAndJobsAct is signed into law by @realDonaldTrump you'll keep 100% of the first $24K you make. #TaxFree24K,1623308912,2.0
5922,856602046564376576,2017-04-24 20:13:37,J000032,Sheila Jackson Lee,D,TX,"With @realDonaldTrump’s 100th day in office fast approaching, his failures outweigh his successes. #Trump100Days",80612021,-2.0
7043,865611231285182465,2017-05-19 16:52:54,M001143,Betty Louise McCollum,D,MN,.@realDonaldTrump and his administration cannot be trusted to protect our environment from foreign-owned Twin Metals' destructive proposals.,516880804,-2.0
7751,874380588400168960,2017-06-12 21:39:12,F000461,Bill Flores,R,TX,"RT @realDonaldTrump: Finally held our first full @Cabinet meeting today. With this great team, we can restore American prosperity and br…",237312687,2.0
22282,872812833779724288,2017-06-08 13:49:30,M001185,Sean Patrick Maloney,D,NY,"#ComeyHearing testimony was released last night - POTUS repeatedly asked Comey to stop investigation, cover for #Flynn. We need answers.",1072467470,-1.0
23392,885168072419618816,2017-07-12 16:04:48,U000039,Tom S. Udall,D,NM,I’ve put a roadblock on my website to show visitors what the internet would look like if @POTUS &amp; Congressional GOP destroy #NetNeutrality https://t.co/A4AfTSgJnb,60828944,-1.0
18659,843915351020785664,2017-03-20 20:01:13,P000096,Bill J. Pascrell,D,NJ,"Under this unprecedented Constitutional crisis, I'm calling again on @POTUS or @HouseGOP for Congressional review of the President's taxes.",74508260,-1.0
9088,895761710480490499,2017-08-10 21:40:08,P000096,Bill J. Pascrell,D,NJ,@POTUS @realDonaldTrump Vladimir Putin does not have hiring and firing privileges at the @StateDept.,74508260,-1.0
10295,913379429937745921,2017-09-28 12:26:40,D000621,Ron DeSantis,R,FL,Thank you @realDonaldTrump for waiving the Jones Act! This will help the recovery efforts in Puerto Rico.,1058807868,2.0
12580,948576243175378953,2018-01-03 15:26:14,M000312,James P. McGovern,D,MA,Americans shouldn't live in fear of #nuclear war with #NorthKorea because @realDonaldTrump has the temperament of a toddler. Such reckless statements put American lives in danger. We deserve better from our president. RT if you agree. https://t.co/NEUy7m04Mc,242426145,-2.0
11106,923997586486366208,2017-10-27 19:39:26,D000614,Sean P. Duffy,R,WI,.@POTUS @realDonaldTrump policies are working. GDP up 3% in 3rd quarter! #MAGA https://t.co/YjehoZ6qYg,234022257,1.0
24631,897845687588728832,2017-08-16 15:41:07,K000380,Daniel T. Kildee,D,MI,"@POTUS For far too long, trade deals have benefited corporations. Workers deserve a fair share of the wealth created by their labor. 4/x",1045110018,-1.0
29018,950885568371740673,2018-01-10 00:22:40,C001069,Joe Courtney,D,CT,"@POTUS The thousands of immigrants who fled to the US over three decades ago to escape war and catastrophe have since planted roots, raised families, and built dreams on American soil. #SaveTPS",85396297,-1.0
2775,825106581306089472,2017-01-27 22:21:53,N000002,Jerrold L. Nadler,D,NY,.@realDonaldTrump's mean-spirited EO targets vulnerable refugees fleeing persecution and is a disservice to this day and that pledge.,40302336,-2.0
16380,831533137578557442,2017-02-14 15:58:43,L000480,Nita M. Lowey,D,NY,We must know when @POTUS learned of Flynn's conversation &amp; why he appointed a Nat Sec Advisor willing to put Putin's interests ahead of ours,221792092,-1.0
12770,950505730716643328,2018-01-08 23:13:20,S001145,Janice D. Schakowsky,D,IL,Shame on @realDonaldTrump for ending #TPSElSalvador https://t.co/9vCkDSixz6,24195214,-1.0
23011,879712076318597125,2017-06-27 14:44:37,U000039,Tom S. Udall,D,NM,"@POTUS #Superfund sites like the Bonita Peak Mining District, which includes the #GoldKingMine, need comprehensive remediation – not a Band-Aid.",60828944,-1.0
11360,928630203001253888,2017-11-09 14:27:48,M001176,Jeff Merkley,D,OR,@realDonaldTrump Willful ignorance of science is simply par for the course for the individuals now being installed within the highest levels of our government under the Trump administration.,29201047,-2.0
28329,940651861518020608,2017-12-12 18:37:34,W000806,Daniel Webster,R,FL,"I applaud @POTUS for signing the #NDAA into law today. This NDAA provides critical funding and vital support to our armed forces, including giving servicemen the pay increase they deserve. https://t.co/jpuKEVXUWv",281540744,2.0
12200,941106363501109248,2017-12-14 00:43:36,B001292,Donald Beyer,D,VA,"RT @RepJudyChu: I judge Donald Trump by his words and his actions. Once again, he shows himself to be somebody who disrespects and…",2962868158,-2.0
25121,902237928339988481,2017-08-28 18:34:19,T000461,Patrick J. Toomey,R,PA,Pleased @POTUS is taking crucial steps to ensure our police officers have the tools they need to protect themselves &amp; others. My statement: https://t.co/HAqwT15rGU,221162525,2.0
24807,899306121780801536,2017-08-20 16:24:22,C001038,Joseph Crowley,D,NY,President Trump's attack on science is reckless. Earth to @POTUS: climate change is real &amp; we must #ActOnClimate. You can't hide the truth. https://t.co/63exdLZ70R,111635980,-2.0
18369,842055608341827584,2017-03-15 16:51:16,F000454,Bill Foster,D,IL,.@NOAA’s report on rising CO2 emissions is a reminder that #ClimateChange is not the “hoax” @POTUS has called it. https://t.co/s1y6CElPcX,1080509366,-1.0
20001,854721489731506177,2017-04-19 15:40:57,M000934,Jerry Moran,R,KS,.@POTUS just signed my bill w/ @SenJohnMcCain @SenatorIsakson @SenatorTester to improve veteran healthcare into law. https://t.co/nK0HIKFxlp,18632666,1.0
23341,884506598701400065,2017-07-10 20:16:21,C000984,Elijah E. Cummings,D,MD,RT @OversightDems: Why did #JaredKushner allow #WhiteHouse and #Trump campaign to make misleading statements to American people about…,787373558,-1.0
22970,879399876160888832,2017-06-26 18:04:03,L000174,Patrick J. Leahy,D,VT,But here’s @POTUS top homeland security official saying that citizenship alone is NOT RELIABLE indicator of national security threat. (2) https://t.co/YvpkUfVDcY,242836537,-1.0
28926,950474988875862017,2018-01-08 21:11:10,P000096,Bill J. Pascrell,D,NJ,"By opening up the Atlantic to drilling, @POTUS is risking more than half a million jobs &amp; a $44 billion a year coastal economy in #NJ for a giveaway to the oil &amp; gas industry. I reject drilling off of the New Jersey shoreline. #KillTheDrill https://t.co/FHmJNb6Mi1",74508260,-2.0
18015,838861344246018049,2017-03-06 21:18:24,B001291,Brian Babin,R,TX,I applaud @POTUS for issuing new executive order to prevent terrorists from entering U.S. while improving vetting. https://t.co/0NXwS0WzXz https://t.co/zxMblAczMe,2929491549,2.0
7740,874323171079577600,2017-06-12 17:51:02,G000551,Raúl M. Grijalva,D,AZ,"RT @RepYvetteClarke: .@realDonaldTrump loses, again. #NoBanNoWallNoRaids https://t.co/Az9TJz5pFR",28602948,-1.0
15338,825831847322120192,2017-01-29 22:23:50,W000799,Timothy James Walz,D,MN,.@POTUS' Exec. Order is not who are and blanket discrimination does not keep us safe. Read my statement here: https://t.co/2yRfbli1Rs https://t.co/c9A6TsstEe,1262814457,-2.0
22232,872465310414249984,2017-06-07 14:48:34,M000087,Carolyn B. Maloney,D,NY,"Must read: Former Dir of Natl Intel James Clapper says American institutions are under ""assault"" by @POTUS https://t.co/JNWFxuZdnR",258900199,-2.0
4062,836659741900185600,2017-02-28 19:30:01,A000370,Alma Adams,D,NC,"From putting Bannon on the NSC to his immoral #MuslimBan, @realDonaldTrump has no business saying he's making America safer.",2916086925,-2.0
11730,936349395443994625,2017-11-30 21:41:07,D000614,Sean P. Duffy,R,WI,RT @RepSeanDuffy: America's economy keeps growing under @POTUS @realDonaldTrump! #MAGA https://t.co/NGqCwJ82L1,234022257,2.0
22284,872813075971420161,2017-06-08 13:50:28,M001185,Sean Patrick Maloney,D,NY,"We need POTUS to act honorably, w/country's best interest in mind. Ppl are losing faith in democratic institutions. #ComeyHearing",1072467470,-2.0
29028,951106793219985409,2018-01-10 15:01:44,G000289,Bob W. Goodlatte,R,VA,"Yesterday, I joined a bipartisan group of Members of Congress at the White House to engage w/ @POTUS on the way forward on immigration reform and border security. We also discussed legislation I'll be introducing in the House today w/ @RepMcCaul @Raul_Labrador @RepMcSally. https://t.co/cklCgxYTly",37920978,1.0
24719,898558228979621888,2017-08-18 14:52:30,E000179,Eliot L. Engel,D,NY,Joined my colleagues incl. @RepJerryNadler in cosponsoring a resolution to censure @POTUS for his disgraceful response to #Charlottesville. https://t.co/8VDTn0W4M4,164007407,-2.0
9293,897866364429402118,2017-08-16 17:03:17,M001163,Doris O. Matsui,D,CA,RT @DorisMatsui: @realDonaldTrump changing stance on white nationalism is dangerous. Real leaders stand on the side against hate.,38254095,-2.0
14021,958549298404384768,2018-01-31 03:55:36,M001160,Gwen Moore,D,WI,"My thoughts on tonight’s #SOTU: The state of our union is indeed strong, as are the people who call it home. And despite what my Democratic colleagues might think, I do believe @realDonaldTrump deserves credit as well, just not for the reasons he thinks. https://t.co/e3lmwISUTX",22669526,1.0
2221,822105379240865792,2017-01-19 15:36:11,P000598,Jared Polis,D,CO,Tomorrow @realDonaldTrump gets the nuclear launch codes... What could possibly go wrong? https://t.co/j5fryDCIl3,15361570,-2.0
10441,916342166527586305,2017-10-06 16:39:31,C001038,Joseph Crowley,D,NY,There is no logic or purpose behind this archaic rule other than to appease the most extreme voices in @realDonaldTrump's base. 3/,111635980,-1.0
